コメント,風が気持ち良いっ! こんな日はお散歩したいですね。でも、すぐにお仕事の時間が来ちゃうからゆっくりできないかな? でもいいんです。私、○○さんとのお仕事、好きですから!
マイスタジオ,一緒にお散歩しに行きます?
,風が吹くと気持ちいいですね…
,この前、菜帆ちゃんとお散歩したら和菓子屋さんを見つけたの!
,最近はお菓子作りにハマってます
お仕事,色んなお仕事、楽しいなって!
,もっと弾けちゃいますよーっ!
,○○さん、ファンの人が手紙をくれて…私、嬉しくて…
,笑顔がいいって褒められました
お仕事(親愛度UP),○○さんには、感謝の気持ちだけじゃ足りませんね!
LIVEバトル,一緒に頑張りましょう
親愛度MAX,アイドル向いていないって思った日もあったんです。
,私みたいな普通の子じゃダメかなって。でも、今は続けてよかったと思ってます!
マイスタジオ(親愛度MAX),ふふっ○○さん、休むのもお仕事ですよっ、ね?
お仕事(親愛度MAX),○○さんは私をその気にさせる天才ですねっ
コメント,私、ライブはファンの方を身近に感じられるから好きなんです! ほら、私たちを呼ぶ声があんなに大きく聞こえる。
,行ってきますね! ファンのみんなと、○○さんのために歌ってきますっ!
マイスタジオ,一緒にお散歩しに行きます?
,風が吹くと気持ちいいですね…
,みんなの笑顔が最高の宝物です
,皆元気でまとまりないから、ついまとめ役になっちゃうんです!
お仕事,色んなお仕事、楽しいなって!
,笑顔がいいって褒められました
,このお花は夕美ちゃんセレクトです
,○○さんとお仕事してると、自然と笑顔になってます
お仕事（親愛度UP）,○○さんの笑顔を見たら、疲れも吹っ飛んじゃいます!
LIVEバトル,精一杯、表現しますねっ!
親愛度MAX,○○さんにこんなこと言ったらアイドル失格かもしれませんけど、私…やっぱりあなたの笑顔が大好きですからっ!
マイスタジオ（親愛度MAX）,私、○○さんと一緒に写真撮りたいな…お願いですっ!
お仕事（親愛度MAX）,今日の私も明日の私も覚えててください、○○さん
コメント,私、ライブはファンの方を身近に感じられるから好きなんです! ほら、私たちを呼ぶ声があんなに大きく聞こえる。
,行ってきますね! ファンのみんなと、○○さんのために歌ってきますっ!
マイスタジオ,一緒にお散歩しに行きます?
,風が吹くと気持ちいいですね…
,みんなの笑顔が最高の宝物です
,皆元気でまとまりないから、ついまとめ役になっちゃうんです!
お仕事,色んなお仕事、楽しいなって!
,笑顔がいいって褒められました
,このお花は夕美ちゃんセレクトです
,○○さんとお仕事してると、自然と笑顔になってます
お仕事(親愛度UP),○○さんの笑顔を見たら、疲れも吹っ飛んじゃいます!
LIVEバトル,精一杯、表現しますねっ!
お仕事,○○さんにこんなこと言ったらアイドル失格かもしれませんけど、私…やっぱりあなたの笑顔が大好きですからっ!
マイスタジオ(親愛度MAX),私、○○さんと一緒に写真撮りたいな…お願いですっ!
お仕事(親愛度MAX),今日の私も明日の私も覚えててください、○○さん
コメント,みんなで記念日をお祝いするって聞いたんですけど…なんだか不思議な感じがしますね。
,私がアイドルになってもうそんなに経ったなんて…○○さんもそう思いませんか?
マイスタジオ,皆で笑顔になれたらいいなって
,時間が過ぎるのって早いですね
,写真撮りましょうか?これ、小さいけど撮れるんです…トイカメラ♪
,乾杯、しましょうか?
お仕事,みんなで息を合わせて…
,みんなが優しくなれるように♪
,みんなを笑顔にしたいですね
,私には私のペースがあるんですよね。のんびり行きましょう♪
お仕事(親愛度UP),○○さん、今日も一緒にがんばりましょうね!
LIVEバトル,楽しみましょう!
親愛度MAX,こんな私がアイドルとしてお仕事を続けてこれたのは○○さんのおかげですよ!
,さすがは名プロデューサーさんですね♪
マイスタジオ(親愛度MAX),○○さんやみんなの笑顔があるこの時間…ステキですね
お仕事(親愛度MAX),○○さんが一緒にいるからお仕事続けていけるんです
