コメント,○○さん、このお正月飾り見てくださいっ。今年も、事務所のみんなが健康にすごせますようにって、気持ちを込めて作ってみました。だから、事務所に飾っておきますね。えへっ♪
マイスタジオ,賑やかな冬になりそうですっ
,お正月って、ワクワクしますよねっ
,和風のお花をチョイスしました♪
,手先の器用さには、自信があります。もっと大作も作ろうかな♪
お仕事,和服ですから、普段より少しだけ大人っぽく…やってみます♪
,今年もいい年でありますように
,新年らしく、楽しみましょうね！
,お正月は、賑やかにいきますっ！
お仕事（親愛度UP）,今年もみんなと一緒なら、きっと幸せな一年になりますよね♪
LIVEバトル,笑顔を、アレンジしますねっ
親愛度MAX,今日は、みんなでゆっくりすごしましょうね。だって、せっかく○○さんも一緒なんですし。いいお正月になりそう♪
マイスタジオ（親愛度MAX）,よかったら、○○さん用にもう一つ、作りましょうか？
お仕事（親愛度MAX）,みんなの笑顔が…嬉しいです。○○さんの笑顔もっ♪
コメント,年が明けても、寒い日が続きますけど…今日は一足早く、私たちが暖かな春をお届けします。ファンの皆さんも、今日のLIVEで心と身体を暖めてくださいねっ。それじゃ、元気いっぱい歌いますっ！
マイスタジオ,賑やかな冬になりそうですっ
,お正月って、ワクワクしますよねっ
,門松をイメージした衣装ですね♪
,お正月ですし、今日のLIVEは、いつも以上に盛り上がりそうです
お仕事,みんなで暖まりましょうねっ！
,会場の歓声を聞くうちに、私…熱くなってきましたっ。えへっ♪
,新年らしく、楽しみましょうね！
,お正月は、賑やかにいきますっ！
お仕事（親愛度UP）,こういう熱いお正月も、楽しいですねっ！　○○さんっ！
LIVEバトル,私と、暖まってください♪
親愛度MAX,とっても賑やかなLIVEでしたね。○○さんの応援も、ちゃんと届いていました♪この調子で、今年も頑張りましょうっ！
マイスタジオ（親愛度MAX）,お正月のお仕事が、○○さんと一緒で良かったですっ
お仕事（親愛度MAX）,一緒にお正月をすごせて嬉しいですよ。幸先のいい一年ですっ
登場時,
,
LIVE開始,
,一足早い春をどうぞ♪
勝利,
,
引き分け,
,
敗北,なんて温かいLIVE…みんなもそう感じてくれてたらいいな…♪
,
