コメント,はじめまして、プロデューサーさん、ファンのみなさんが優しい気持ちになれるような、微笑んでくれるようなアイドルを目指したいと思っているんです。よろしくお願いしますねっ。
マイスタジオ,○○プロデューサー、どうもこんにちは
,いい日になるといいですね
,いつもお疲れ様です
,私、頑張れてるかな…？
お仕事,ちょっと恥ずかしいかも…
,○○プロデューサー、悪いとこがあったら教えてください
,精一杯頑張りますっ
,ありがとうございましたっ
お仕事(親愛度UP),○○プロデューサー、いつもありがとうございますっ
LIVEバトル,競うのはあまり好きじゃ…
親愛度MAX,アイドルを目指すの、ホントはちょっと怖かったんです。でも○○プロデューサーが支えてくれるから私は今日も笑顔ですっ
マイスタジオ(親愛度MAX),○○プロデューサーっ、今日は何をしましょうかっ
お仕事(親愛度MAX),よかった、○○プロデューサーがいてくれるなら安心…
コメント,ファンのみなさんの笑顔、一人一人ちゃんと覚えるようにしてるんです。つらくてもそれを思い出せば、いつでも幸せな気持ちになれますからねっ。幸せな気持ち、大事ですっ。
マイスタジオ,いつもお疲れ様です
,いい日になるといいですね
,いい天気だと眠くなっちゃいますね、○○プロデューサー
,お散歩しませんか？
お仕事,精一杯頑張りますっ
,みなさんを笑顔にしてきますっ
,ありがとうございましたっ
,ファンのみなさんと○○プロデューサーのために、私頑張るっ
お仕事(親愛度UP),○○さんも今、幸せな気持ちだといいな……
LIVEバトル,よろしくお願いしますっ
親愛度MAX,こんなこと言っちゃアイドル失格かもしれませんけど…私、誰よりも○○さんの笑顔を見るのが、す、好きなんですよ
マイスタジオ(親愛度MAX),すー…すー……あのね、わたし…○○さんのこと……
お仕事(親愛度MAX),あ、○○さんが笑ってる。私、上手くできたのかな？
