入手時,こうして二人きりでお話してると、仕事の忙しさも忘れちゃいますね。もう少しだけ…ゆっくり…
,ここ、最近見つけた私のお気に入りのカフェなんです。この場所は、みんなには秘密ですよ。うふふ♪
,私がアイドルのお仕事を頑張れるのは、こうしてのんびりした時間を大切にできているから…かも♪
コメント,○○さん、とっても落ち着くお店でしょ? 最近見つけた私のお気に入りのカフェなんです。アイドルとして忙しいのも嬉しいですけど、こうしてゆったり過ごすのもいいと思いませんか?
マイスタジオ,優しい気持ちって大事ですから
,自然の匂いって好きなんです
,こんな休日も素敵ですよね
,ここは自然体でいられるんです。時間がゆっくり、みたいな…
お仕事,落ち着いてお仕事します♪
,あ、ねこさん……うふふ♪
,今、この瞬間をカメラで撮りたいな
,そっか、お仕事でしたね。ふふ、なんだかのんびりしちゃって…
お仕事（親愛度UP）,私のオススメのメニュー、○○さんに教えてあげますね♪
LIVEバトル,たまにはお休みしましょ?
親愛度MAX,私がこのお店を教えたのは初めてなんですよ?だって、これからも○○さんと一緒の時間を大切にしたいんです!
マイスタジオ（親愛度MAX）,私と○○さんの、秘密の隠れ家にしちゃいましょうか?
お仕事（親愛度MAX）,○○さんと過ごす時間が、何よりの心の栄養ですから!
コメント,真っ白なドレスで…ここは幻想的な森の中…うふふ、すこし不思議な感じですね。でもすぐ隣に○○さんがいて…動物たちにも祝福されてるみたいで…小さな幸せを実感しますね…
マイスタジオ,優しい気持ちって大事ですから
,自然の匂いって好きなんです
,純白のドレス、なんだか照れちゃいますね。ふふ、似合ってますか?
,森の妖精になった気分…かな
お仕事,落ち着いてお仕事します♪
,あ、ねこさん……うふふ♪
,ぽかぽかって気持ちいいですね
,○○さん、たんぽぽって眩しい太陽に似てませんか?
お仕事（親愛度UP）,○○さんに新たな魅力を見つけてもらうように…
LIVEバトル,花々がきれいでしょ?
親愛度MAX,ずっと支えてくれた○○さんの笑顔の為に…私はこれからもずっとアイドルを続けていきたいなって思います♪
マイスタジオ（親愛度MAX）,大好きな○○さんの笑顔…これからもずっと見たい…
お仕事（親愛度MAX）,○○さんが笑顔だと、私まで笑顔になっちゃいます♪
登場時,
,あたたかくて幸せなひととき、みんなで一緒にすごしましょう
LIVE開始,
,幸せでぽかぽかに♪
勝利,幸せのぬくもり、お届けできたみたいで、私たちも嬉しいです♪
,
引き分け,
,私も愛梨さんと一緒だと、いつもよりも、落ち着くみたいです♪
敗北,
,私もです♪ でも、そうしたら次はきっと届けられますよね
登場時,
,そんな時は木陰でのんびり...優しい木漏れ日を感じましょう♪
LIVE開始,
,私たちもちょっぴり熱くっ
勝利,
,また一緒に歌いましょう。お花と一緒に、お待ちしてます♪
引き分け,新しい季節を告げる、妖精みたいな...心踊るパフォーマンスですっ
,
敗北,熱いLIVEで疲れちゃいましたか?ゆっくり休憩してくださいね
