○○さん,-1,-1,-1,名詞,固有名詞,人名,名,*,*,○○さん,プロデューサーサン,プロデューサーサン
プロデューサーさん,-1,-1,-1,名詞,固有名詞,人名,名,*,*,プロデューサーさん,プロデューサーサン,プロデューサーサン
歌鈴ちゃん,-1,-1,-1,名詞,固有名詞,人名,名,*,*,歌鈴ちゃん,カリンチャン,カリンチャン
未央ちゃん,-1,-1,-1,名詞,固有名詞,人名,名,*,*,未央ちゃん,ミオチャン,ミオチャン
ミオちゃん,-1,-1,-1,名詞,固有名詞,人名,名,*,*,ミオちゃん,ミオチャン,ミオチャン
茜ちゃん,-1,-1,-1,名詞,固有名詞,人名,名,*,*,茜ちゃん,アカネチャン,アカネチャン
アカネちゃん,-1,-1,-1,名詞,固有名詞,人名,名,*,*,アカネちゃん,アカネチャン,アカネチャン
雫ちゃん,-1,-1,-1,名詞,固有名詞,人名,名,*,*,雫ちゃん,シズクチャン,シズクチャン
美嘉ちゃん,-1,-1,-1,名詞,固有名詞,人名,名,*,*,美嘉ちゃん,ミカチャン,ミカチャン
肇ちゃん,-1,-1,-1,名詞,固有名詞,人名,名,*,*,肇ちゃん,ハジメチャン,ハジメチャン
ありすちゃん,-1,-1,-1,名詞,固有名詞,人名,名,*,*,ありすちゃん,アリスチャン,アリスチャン
輝子ちゃん,-1,-1,-1,名詞,固有名詞,人名,名,*,*,輝子ちゃん,ショウコチャン,ショウコチャン
愛梨さん,-1,-1,-1,名詞,固有名詞,人名,名,*,*,愛梨さん,アイリサン,アイリサン
ユッコちゃん,-1,-1,-1,名詞,固有名詞,人名,名,*,*,ユッコちゃん,ユッコチャン,ユッコチャン
春菜ちゃん,-1,-1,-1,名詞,固有名詞,人名,名,*,*,春菜ちゃん,ハルナチャン,ハルナチャン
菜帆ちゃん,-1,-1,-1,名詞,固有名詞,人名,名,*,*,菜帆ちゃん,ナホチャン,ナホチャン
夕美ちゃん,-1,-1,-1,名詞,固有名詞,人名,名,*,*,夕美ちゃん,ユミチャン,ユミチャン
夕美さん,-1,-1,-1,名詞,固有名詞,人名,名,*,*,夕美さん,ユミサン,ユミサン
かな子ちゃん,-1,-1,-1,名詞,固有名詞,人名,名,*,*,かな子ちゃん,カナコチャン,カナコチャン
藍子ちゃん,-1,-1,-1,名詞,固有名詞,人名,名,*,*,藍子ちゃん,アイコチャン,アイコチャン
蘭子ちゃん,-1,-1,-1,名詞,固有名詞,人名,名,*,*,蘭子ちゃん,ランコチャン,ランコチャン
珠美ちゃん,-1,-1,-1,名詞,固有名詞,人名,名,*,*,珠美ちゃん,タマミチャン,タマミチャン
加奈ちゃん,-1,-1,-1,名詞,固有名詞,人名,名,*,*,加奈ちゃん,カナチャン,カナチャン
智絵里ちゃん,-1,-1,-1,名詞,固有名詞,人名,名,*,*,智絵里ちゃん,チエリチャン,チエリチャン
千夜さん,-1,-1,-1,名詞,固有名詞,人名,名,*,*,千夜さん,チヨサン,チヨサン
文香さん,-1,-1,-1,名詞,固有名詞,人名,名,*,*,文香さん,フミカサン,フミカサン
美波さん,-1,-1,-1,名詞,固有名詞,人名,名,*,*,美波さん,ミナミサン,ミナミサン
サリナさん,-1,-1,-1,名詞,固有名詞,人名,名,*,*,サリナさん,サリナサン,サリナサン
相方さん,-1,-1,-1,名詞,固有名詞,*,*,*,*,相方さん,アイカタサン,アイカタサン
刑事さん,-1,-1,-1,名詞,固有名詞,*,*,*,*,刑事さん,ケイジサン,ケイジサン
小鳥さん,-1,-1,-1,名詞,固有名詞,*,*,*,*,小鳥さん,コトリサン,コトリサン
欲張りさん,-1,-1,-1,名詞,固有名詞,*,*,*,*,欲張りさん,ヨクバリサン,ヨクバリサン
リスさん,-1,-1,-1,名詞,固有名詞,*,*,*,*,リスさん,リスサン,リスサン
キリンさん,-1,-1,-1,名詞,固有名詞,*,*,*,*,キリンさん,キリンサン,キリンサン
メイドさん,-1,-1,-1,名詞,固有名詞,*,*,*,*,メイドさん,メイドサン,メイドサン
大道具さん,-1,-1,-1,名詞,固有名詞,*,*,*,*,大道具さん,オオドウグサン,オオドウグサン
てんとう虫さん,-1,-1,-1,名詞,固有名詞,*,*,*,*,てんとう虫さん,テントウムシサン,テントウムシサン
黒ねこさん,-1,-1,-1,名詞,固有名詞,*,*,*,*,黒ねこさん,クロネコサン,クロネコサン
黒猫さん,-1,-1,-1,名詞,固有名詞,*,*,*,*,黒猫さん,クロネコサン,クロネコサン
ご近所さん,-1,-1,-1,名詞,固有名詞,*,*,*,*,ご近所さん,ゴキンジョサン,ゴキンジョサン
動物さん,-1,-1,-1,名詞,固有名詞,*,*,*,*,動物さん,ドウブツサン,ドウブツサン
妖精さん,-1,-1,-1,名詞,固有名詞,*,*,*,*,妖精さん,ヨウセイサン,ヨウセイサン
スタイリストさん,-1,-1,-1,名詞,固有名詞,*,*,*,*,スタイリストさん,スタイリストサン,スタイリストサン
学生さん,-1,-1,-1,名詞,固有名詞,*,*,*,*,学生さん,ガクセイサン,ガクセイサン
スタッフさん,-1,-1,-1,名詞,固有名詞,*,*,*,*,スタッフさん,スタッフサン,スタッフサン
お客さん,-1,-1,-1,名詞,固有名詞,*,*,*,*,お客さん,オキャクサン,オキャクサン
猫さん,-1,-1,-1,名詞,固有名詞,*,*,*,*,猫さん,ネコサン,ネコサン
ねこさん,-1,-1,-1,名詞,固有名詞,*,*,*,*,ねこさん,ネコサン,ネコサン
鹿さん,-1,-1,-1,名詞,固有名詞,*,*,*,*,鹿さん,シカサン,シカサン
綿毛さん,-1,-1,-1,名詞,固有名詞,*,*,*,*,綿毛さん,ワタゲサン,ワタゲサン
鳥さん,-1,-1,-1,名詞,固有名詞,*,*,*,*,鳥さん,トリサン,トリサン
牛さん,-1,-1,-1,名詞,固有名詞,*,*,*,*,牛さん,ウシサン,ウシサン
盗賊さん,-1,-1,-1,名詞,固有名詞,*,*,*,*,盗賊さん,トウゾクサン,トウゾクサン
和菓子屋さん,-1,-1,-1,名詞,固有名詞,*,*,*,*,和菓子屋さん,ワガシヤサン,ワガシヤサン
雑貨屋さん,-1,-1,-1,名詞,固有名詞,*,*,*,*,雑貨屋さん,ザッカヤサン,ザッカヤサン
サンタさん,-1,-1,-1,名詞,固有名詞,*,*,*,*,サンタさん,サンタサン,サンタサン
店員さん,-1,-1,-1,名詞,固有名詞,*,*,*,*,店員さん,テンインサン,テンインサン
ハムちゃん,-1,-1,-1,名詞,固有名詞,*,*,*,*,ハムちゃん,ハムチャン,ハムチャン
斬艦刀,-1,-1,-1,名詞,固有名詞,*,*,*,*,斬艦刀,ザンカントウ,ザンカントウ
ばっちり,-1,-1,-1,副詞,一般,*,*,*,*,ばっちり,バッチリ,バッチリ
?,-1,-1,-1,記号,句点,*,*,*,*,?,?,?
!,-1,-1,-1,記号,句点,*,*,*,*,!,!,!
♪,-1,-1,-1,記号,句点,*,*,*,*,♪,♪,♪
